call_no,title,artist,year,medium,category
NC-01,Suprematist Composition,Kazimir Malevich,c.1916,Oil on canvas,Painting
NC-02,Suprematist Study,Kazimir Malevich,c.1917,Gouache on paper,Works on paper
NC-03,Study for a Black Quadrilateral,Kazimir Malevich,c.1915,Pencil and gouache,Works on paper
NC-04,Proun Study,El Lissitzky,c.1921,Gouache and collage,Works on paper
NC-05,Typographic Design,El Lissitzky,c.1922,Lithograph,Works on paper
NC-06,Suprematist Composition,Nikolai Suetin,c.1923,Gouache on paper,Works on paper
NC-07,Costume Design,Alexandra Exter,c.1921,Gouache on paper,Works on paper
NC-08,Stage Design,Alexandra Exter,c.1922,Gouache on paper,Works on paper
NC-09,Porcelain Plate,Sergei Chekhonin,c.1920,Painted porcelain,Porcelain
NC-10,Graphic Design,Sergei Chekhonin,c.1920,Ink on paper,Works on paper
NC-11,Plate with Emblem,Sergei Chekhonin,c.1921,Painted porcelain,Porcelain
NC-12,Title-page Design,Sergei Chekhonin,c.1922,Ink and gouache,Works on paper
NC-13,Monogram Study,Sergei Chekhonin,c.1923,Ink on paper,Works on paper
NC-14,Decorative Plate,Sergei Chekhonin,c.1924,Painted porcelain,Porcelain
NC-15,Landscape,Aristarkh Lentulov,c.1916,Oil on canvas,Painting
NC-16,Painterly Architectonic Study,Lyubov Popova,c.1917,Gouache on paper,Works on paper
